视频标题,发布时间,播放量,点赞量,收藏量,弹幕量,评论量,转发量,投币量,视频时长(s),BV号,AV号
《崩坏：星穹铁道》千星纪游PV：「有关星空的寓言集•其二」,2025-06-24 12:00:00,8650047,450594,134210,144049,63240,129764,236466,1234,BV1HsKbznEZg,114730622518677
《崩坏：星穹铁道》3.4版本「因为太阳将要毁伤」前瞻特别节目,2025-06-20 20:40:00,3039536,145161,33900,85169,19639,7489,42066,3266,BV1APNWziErE,114707704841533
《崩坏：星穹铁道》3.4版本PV：「因为太阳将要毁伤」,2025-06-20 20:00:00,5244441,194214,40771,60614,16951,25059,70111,726,BV1hmNpz7EmZ,114707688131263
《崩坏：星穹铁道》赛飞儿角色PV——「举手之劳」,2025-06-06 12:07:06,5342350,318779,91074,59236,18024,28197,105498,516,BV14nTNzfEcU,114634405186498
《崩坏：星穹铁道》走近星穹——「赛飞儿：财从八方来！」,2025-06-03 12:00:00,2010799,151439,21385,50368,9017,8528,29229,520,BV1mf72zgEPx,114611722391330
《崩坏：星穹铁道》EP：「拂晓」,2025-05-22 12:00:00,17679652,678427,429848,389103,46758,110809,619782,208,BV12HJBzHERG,114545268033025
《崩坏：星穹铁道》风堇角色PV——「有求必应」,2025-05-20 12:00:00,7343101,405399,119966,104737,26982,62962,201626,436,BV1ZNEiz8ESM,114505572943323
《崩坏：星穹铁道》走近星穹——「风堇：新的风宝已经出现」,2025-05-14 18:00:00,2428074,166096,23858,15241,10200,12457,35881,442,BV16vEFzPEXp,114500103573179
《崩坏：星穹铁道》3.3版本「在黎明升起时坠落」前瞻特别节目,2025-05-09 20:40:00,2451376,110053,23141,17188,8366,3545,20772,2060,BV1MB5KzQEYL,114472236614932
《崩坏：星穹铁道》3.3版本PV：「‍在黎明升起时坠落」,2025-05-09 20:00:00,3592479,138563,25375,20103,14127,15039,37777,710,BV16h5NzqE2K,114470827329551
《崩坏：星穹铁道》「2025星铁LIVE」演唱会官方录播完整版,2025-05-04 16:22:11,8053871,352452,211561,329209,19301,50537,295071,15506,BV1aDGfziEGh,114446315816577
《崩坏：星穹铁道》2025演唱会：「踏上旅途」,2025-05-03 21:15:00,2155511,166349,40411,28354,12086,7059,44072,249,BV1UnGbzyEYW,114426820692144
《崩坏：星穹铁道》2025演唱会：「希望有羽毛和翅膀」,2025-05-02 21:42:48,3073158,264391,66986,8342,13303,27237,100588,524,BV172V5zsEjX,114438396972828
《崩坏：星穹铁道》2025演唱会：「不乱不破」,2025-05-01 21:02:31,3471255,288356,61886,82530,12205,34751,77498,220,BV1pMGqzdEcy,114432642451510
《崩坏：星穹铁道》演唱会动画CM：「拍摄进行中」,2025-04-29 18:00:00,4504973,440735,176454,101730,13284,49582,202002,473,BV1SrGrzUEmp,114418985732801
《崩坏：星穹铁道》二周年特别动画：「不虚此行」,2025-04-26 12:00:00,9239821,757799,373130,333088,31685,80947,640090,699,BV1ozLezmERa,114391001335318
《崩坏：星穹铁道》那刻夏角色PV——「何罪之有」,2025-04-25 12:00:00,5249960,302615,113000,48538,25430,38347,135825,526,BV1AbLezxEKM,114390850338819
《崩坏：星穹铁道》走近星穹——「那刻夏：哈哈哈哈哈哈哈」,2025-04-23 12:00:00,3131811,171730,30643,139556,45451,14796,28550,520,BV1gf5Xz9EL6,114380532354014
《崩坏：星穹铁道》遐蝶角色PV——「墓志铭」,2025-04-08 12:00:00,6505129,328813,111071,70088,26255,41010,187694,740,BV17YR2YuETG,114296025515029
《崩坏：星穹铁道》黄金史诗PV：「生命从夜中醒来」,2025-04-05 12:00:00,5011573,347644,90641,100555,18290,47126,163887,938,BV18hZ1YaEuM,114272688407941
《崩坏：星穹铁道》走近星穹——「遐蝶：遐瑕不分，叽米惨遭发配哀地里亚」,2025-04-02 12:00:00,2866288,176265,31732,55388,10240,12931,43999,572,BV1j4ZbYcEaV,114261430896704
厨房即战场！「黄金大饭店」新预告公开,2025-04-01 12:00:00,3777592,307111,64119,60496,12667,42205,88987,398,BV11UZ7YjE2f,114255525382256
《崩坏：星穹铁道》动画短片：「那安息的长夜」,2025-03-31 12:00:00,6752676,514623,182053,73145,29018,115052,350047,1798,BV16io9YTEqH,114238815210394
《崩坏：星穹铁道》3.2版本「走过安眠地的花丛」前瞻特别节目,2025-03-28 20:45:00,2695271,147454,31025,89903,19492,7964,63079,2783,BV1C8o9Y3Ekg,114238613882591
《崩坏：星穹铁道》3.2版本PV：「‍走过安眠地的花丛」,2025-03-28 20:00:00,3548472,139714,31069,18828,14196,11461,49461,694,BV1WToXYMEpB,114237707912310
《崩坏：星穹铁道》万敌角色PV——「人之怒」,2025-03-14 12:00:00,5049897,266730,66740,45998,29697,32075,96576,471,BV16FQwYGE8k,114153133967884
《崩坏：星穹铁道》走近星穹——「万敌：悬锋人的字典里没有类固醇」,2025-03-12 12:00:00,2110962,141444,22855,28694,9412,8485,24423,480,BV1i8QGYaEFh,114143889720169
《崩坏：星穹铁道》走近星穹——「千面英雄」特别节目,2025-02-26 12:00:00,2006145,148405,27806,36943,7194,9616,36169,655,BV14KPeerEKu,114064650929686
《崩坏：星穹铁道》缇宝角色PV——「童言无忌」,2025-02-25 12:00:00,6133965,300701,72721,32581,23010,33638,107992,536,BV16HPsezEgp,114057168293709
《崩坏：星穹铁道》黄金史诗PV：「命运的第一个黎明」,2025-02-21 12:00:00,4289473,267518,64362,20385,15204,34730,94605,735,BV1sZAnevEsh,114035257248165
《崩坏：星穹铁道》走近星穹——「缇宝：怎么缇都有面儿」,2025-02-19 12:00:00,2274776,145166,17407,5531,16334,8542,24208,381,BV1T8AhevEDM,114024704446437
《崩坏：星穹铁道》3.1版本「门扉之启，王座之终」前瞻特别节目,2025-02-14 20:30:00,2202060,95206,16651,25324,15653,3027,17837,2382,BV1eYKAezEpu,114001132388770
《崩坏：星穹铁道》3.1版本PV：「‍门扉之启，王座之终」,2025-02-14 20:00:00,2527103,102366,16533,20095,8066,7534,22638,643,BV1AaKweHEna,113999924432720
《崩坏：星穹铁道》阿格莱雅角色PV——「致命浪漫」,2025-01-31 12:00:00,5620769,282045,51556,32685,36226,20095,69212,575,BV1ADFNe5EAG,113893372330973
《崩坏：星穹铁道》走近星穹——「阿格莱雅：文明上网，人人有责」,2025-01-29 12:00:00,2275238,162240,21835,28518,11210,7189,26525,463,BV1ATFNeyEhB,113893842226174
叽米VS帕姆！谁能当选宇宙代言人？,2025-01-22 12:00:00,1386088,139245,13852,28641,6990,9773,17934,161,BV1fWwYepE1V,113866042245938
《崩坏：星穹铁道》EP：「洞穴寓言」,2025-01-19 12:00:00,1923732,130816,21252,11855,8930,4070,23391,265,BV1XxcReqEtf,113843393005896
《崩坏：星穹铁道》大黑塔角色PV——「宇宙有天才」,2025-01-14 12:00:00,11073159,520788,157569,151757,24732,64535,205473,609,BV1tXckehEd3,113818764054408
《崩坏：星穹铁道》神话开篇PV：「诸神尽喑之歌」,2025-01-12 12:00:00,4975021,270156,55543,36555,16943,39370,96857,333,BV1KbcNepEzt,113810442555204
《崩坏：星穹铁道》动画短片：「大 黑 塔 的 魔 法 厨 房」,2025-01-10 12:00:00,7435939,477018,163607,68910,16441,62803,179936,714,BV1cErqYDEGC,113796181921685
《崩坏：星穹铁道》走近星穹——「大黑塔：你的帽子怎么尖尖的？」,2025-01-08 12:00:00,4693173,284959,53044,237736,10665,38036,65922,567,BV1YprQY5Euo,113787021624650
《崩坏：星穹铁道》走近星穹——「开拓者•记忆：叽米是梦的开场白」,2025-01-07 18:00:00,2789637,178030,23039,52428,9783,13815,25269,578,BV1zgrMYYE2E,113776066036455
《崩坏：星穹铁道》千星纪游PV：「群星静默如谜」,2025-01-07 12:00:00,5325594,320682,81507,51863,12432,30940,110747,755,BV1dCr3YqEtT,113779908020998
开拓必看！打卡开拓星神都没去过的翁法罗斯！,2025-01-05 12:00:00,2990082,270727,53229,51453,10404,29603,122790,968,BV1NQrxYbEvL,113770898655052
《崩坏：星穹铁道》翁法罗斯主题曲MV——「何者」,2025-01-03 12:00:00,6089624,287411,122974,25505,12837,22644,149828,177,BV1yX66YcEPk,113758701684558
《崩坏：星穹铁道》3.0版本「再创世的凯歌」前瞻特别节目,2025-01-01 20:50:00,3237280,147407,30334,86797,12417,7801,43568,3699,BV1Js6HYqE9m,113747125339257
《崩坏：星穹铁道》OP：「何者」,2025-01-01 20:00:00,18716303,624867,288238,162607,46089,126529,399471,199,BV1Nm67YKEZv,113745279845741
《崩坏：星穹铁道》太古颂歌PV：「论泰坦与地上万邦」,2024-12-30 18:00:00,5603689,342846,64281,47177,16225,51027,120618,830,BV1uf6tYBEWN,113734223660460
《崩坏：星穹铁道》忘归人角色PV——「子不语」,2024-12-24 12:00:00,5595853,363402,107743,37427,13572,51165,185406,572,BV13XCGYMEK8,113701071881646
