视频标题,发布时间,播放量,点赞量,收藏量,弹幕量,评论量,转发量,投币量,视频时长(s),version,version_major,version_minor
《崩坏：星穹铁道》白厄角色PV——「日冕」,2025-06-29 12:00:00,28269430,901167,403756,629665,1655183,237879,815652,814,3.4,3.0,4.0
《崩坏：星穹铁道》走近星穹——「白厄：全村人的希望」,2025-06-25 12:00:00,3829202,242641,42012,229708,29438,21036,63405,590,3.4,3.0,4.0
《崩坏：星穹铁道》千星纪游PV：「有关星空的寓言集•其二」,2025-06-24 12:00:00,8650047,450594,134210,144049,63240,129764,236466,1234,3.4,3.0,4.0
《崩坏：星穹铁道》3.4版本「因为太阳将要毁伤」前瞻特别节目,2025-06-20 20:40:00,3039536,145161,33900,85169,19639,7489,42066,3266,3.4,3.0,4.0
《崩坏：星穹铁道》3.4版本PV：「因为太阳将要毁伤」,2025-06-20 20:00:00,5244441,194214,40771,60614,16951,25059,70111,726,3.4,3.0,4.0
《崩坏：星穹铁道》赛飞儿角色PV——「举手之劳」,2025-06-06 12:07:06,5342350,318779,91074,59236,18024,28197,105498,516,3.3,3.0,3.0
《崩坏：星穹铁道》走近星穹——「赛飞儿：财从八方来！」,2025-06-03 12:00:00,2010799,151439,21385,50368,9017,8528,29229,520,3.3,3.0,3.0
《崩坏：星穹铁道》EP：「拂晓」,2025-05-22 12:00:00,17679652,678427,429848,389103,46758,110809,619782,208,3.3,3.0,3.0
《崩坏：星穹铁道》风堇角色PV——「有求必应」,2025-05-20 12:00:00,7343101,405399,119966,104737,26982,62962,201626,436,3.3,3.0,3.0
《崩坏：星穹铁道》走近星穹——「风堇：新的风宝已经出现」,2025-05-14 18:00:00,2428074,166096,23858,15241,10200,12457,35881,442,3.3,3.0,3.0
《崩坏：星穹铁道》3.3版本「在黎明升起时坠落」前瞻特别节目,2025-05-09 20:40:00,2451376,110053,23141,17188,8366,3545,20772,2060,3.3,3.0,3.0
《崩坏：星穹铁道》3.3版本PV：「‍在黎明升起时坠落」,2025-05-09 20:00:00,3592479,138563,25375,20103,14127,15039,37777,710,3.3,3.0,3.0
《崩坏：星穹铁道》「2025星铁LIVE」演唱会官方录播完整版,2025-05-04 16:22:11,8053871,352452,211561,329209,19301,50537,295071,15506,3.2,3.0,2.0
《崩坏：星穹铁道》2025演唱会：「踏上旅途」,2025-05-03 21:15:00,2155511,166349,40411,28354,12086,7059,44072,249,3.2,3.0,2.0
《崩坏：星穹铁道》2025演唱会：「希望有羽毛和翅膀」,2025-05-02 21:42:48,3073158,264391,66986,8342,13303,27237,100588,524,3.2,3.0,2.0
《崩坏：星穹铁道》2025演唱会：「不乱不破」,2025-05-01 21:02:31,3471255,288356,61886,82530,12205,34751,77498,220,3.2,3.0,2.0
《崩坏：星穹铁道》演唱会动画CM：「拍摄进行中」,2025-04-29 18:00:00,4504973,440735,176454,101730,13284,49582,202002,473,3.2,3.0,2.0
